"","FARMCODE","SEASON_NR","Control_Y_FM","PK_Y_FM","NPK_Y_FM","Control_NS","PK_NS","NPK_NS","Nrec"
"92","F3",8,0.635602800103708,1.78341614906832,4.92863354037266,13.1907577332952,25.452020058123,65.9979398560973,0.270306131986495
"13","F4",0,2.46868291418201,2.38515527950311,6.77279503105589,36.81292415183,32.3526981594393,88.8217206813848,0.376460150146303
"23","F4",1,2.26329789992222,2.23172360248447,6.7078105590062,34.1662100505441,30.5931605789504,88.0174574134431,0.382828645563285
"33","F4",2,2.05791288566243,2.07829192546584,6.64282608695651,31.5194959492582,28.8336229984614,87.2131941455014,0.389197140980266
"43","F4",3,1.85252787140265,1.92486024844721,6.57784161490682,28.8727818479722,27.0740854179725,86.4089308775597,0.395565636397248
"53","F4",4,1.64714285714286,1.77142857142857,6.51285714285714,26.2260677466863,25.3145478374836,85.604667609618,0.401934131814229
"63","F4",5,1.44175784288307,1.61799689440994,6.44787267080745,23.5793536454004,23.5550102569947,84.8004043416763,0.408302627231211
"73","F4",6,1.23637282862328,1.46456521739131,6.38288819875776,20.9326395441145,21.7954726765058,83.9961410737346,0.414671122648192
"83","F4",7,1.0309878143635,1.31113354037267,6.31790372670807,18.2859254428286,20.0359350960169,83.1918778057929,0.421039618065174
"93","F4",8,0.825602800103709,1.15770186335404,6.25291925465838,15.6392113415426,18.276397515528,82.3876145378512,0.427408113482155
"14","F5",0,2.44296862846772,3.20515527950311,6.33136645962732,36.4815544905634,41.7563678842099,83.3584957874668,0.277347519355046
"24","F5",1,2.23758361420794,3.05172360248447,6.26638198757763,33.8348403892775,39.996830303721,82.5542325195251,0.283716014772028
"34","F5",2,2.03219859994815,2.89829192546584,6.20139751552794,31.1881262879916,38.2372927232321,81.7499692515834,0.290084510189009
"44","F5",3,1.82681358568836,2.74486024844721,6.13641304347825,28.5414121867057,36.4777551427432,80.9457059836417,0.29645300560599
"54","F5",4,1.62142857142857,2.59142857142857,6.07142857142856,25.8946980854198,34.7182175622543,80.1414427157001,0.302821501022972
"64","F5",5,1.41604355716879,2.43799689440994,6.00644409937888,23.2479839841338,32.9586799817653,79.3371794477584,0.309189996439953
"74","F5",6,1.210658542909,2.28456521739131,5.94145962732919,20.6012698828479,31.1991424012764,78.5329161798167,0.315558491856935
"84","F5",7,1.00527352864921,2.13113354037267,5.8764751552795,17.954555781562,29.4396048207875,77.728652911875,0.321926987273916
"94","F5",8,0.799888514389423,1.97770186335404,5.81149068322981,15.3078416802761,27.6800672402986,76.9243896439333,0.328295482690898
"15","F6",0,2.22582577132486,2.10658385093168,4.5970807453416,33.6833217954235,29.1580716849963,61.8945636799703,0.218243279966494
"25","F6",1,2.02044075706508,1.95315217391304,4.53209627329191,31.0366076941376,27.3985341045074,61.0903004120286,0.224611775383475
"35","F6",2,1.81505574280529,1.79972049689441,4.46711180124223,28.3898935928517,25.6389965240185,60.286037144087,0.230980270800457
"45","F6",3,1.6096707285455,1.64628881987578,4.40212732919254,25.7431794915657,23.8794589435295,59.4817738761453,0.237348766217438
"55","F6",4,1.40428571428571,1.49285714285714,4.33714285714285,23.0964653902798,22.1199213630406,58.6775106082036,0.24371726163442
"65","F6",5,1.19890070002593,1.33942546583851,4.27215838509316,20.4497512889939,20.3603837825517,57.8732473402619,0.250085757051401
"75","F6",6,0.993515685766139,1.18599378881988,4.20717391304347,17.803037187708,18.6008462020628,57.0689840723202,0.256454252468382
"85","F6",7,0.788130671506352,1.03256211180124,4.14218944099378,15.1563230864221,16.8413086215739,56.2647208043785,0.262822747885364
"95","F6",8,0.582745657246564,0.87913043478261,4.07720496894409,12.5096089851361,15.081771041085,55.4604575364368,0.269191243302345
"16","F7",0,4.33582577132487,4.93372670807453,8.06850931677017,60.8740434449081,61.5794347256254,104.857788573888,0.288522358988419
"26","F7",1,4.13044075706508,4.7802950310559,8.00352484472048,58.2273293436221,59.8198971451365,104.053525305947,0.294890854405401
"36","F7",2,3.92505574280529,4.62686335403727,7.9385403726708,55.5806152423362,58.0603595646476,103.249262038005,0.301259349822382
"46","F7",3,3.7196707285455,4.47343167701863,7.87355590062111,52.9339011410503,56.3008219841586,102.444998770063,0.307627845239364
"56","F7",4,3.51428571428572,4.32,7.80857142857142,50.2871870397644,54.5412844036697,101.640735502122,0.313996340656345
"66","F7",5,3.30890070002593,4.16656832298137,7.74358695652173,47.6404729384785,52.7817468231808,100.83647223418,0.320364836073327
"76","F7",6,3.10351568576614,4.01313664596273,7.67860248447204,44.9937588371925,51.0222092426919,100.032208966238,0.326733331490308
